policy,n_jobs_completed,avg_jct_min,p95_jct_min,makespan_min,mean_gpu_utilization,fragmentation_rate,backfill_admissions,cluster,n_hosts,boot_rep
Wind_proxy,700,1341.0081190476194,10888.511666666664,38086.33333333334,0.8814992828792481,0.016971279373368148,372,Earth,8,23
PredSched_LLM,700,909.1967857142857,6580.347499999986,38389.98333333334,0.8745269626538865,0.020887728459530026,343,Earth,8,23
FIFO,700,6798.760428571429,14069.463333333335,29421.0,0.7298516135725045,0.020053475935828877,0,Earth,8,24
QSSF_proxy,700,6099.446452380952,13922.416666666652,29402.05,0.730322012339843,0.00267379679144385,356,Earth,8,24
RF_SRPT_proxy,700,6156.082261904763,13991.233333333332,29477.266666666666,0.7284584614216822,0.00267379679144385,325,Earth,8,24
Backfill_FIFO,700,6225.749452380952,13763.766666666665,28793.500000000007,0.7457573522814763,0.008021390374331552,349,Earth,8,24
Wind_proxy,700,6224.915166666666,13763.766666666665,28793.500000000007,0.7457573522814764,0.0106951871657754,349,Earth,8,24
PredSched_LLM,700,6156.082261904763,13991.233333333332,29477.266666666666,0.7284584614216822,0.00267379679144385,325,Earth,8,24
FIFO,700,5227.137833333335,12867.383333333331,24763.750000000007,0.7726255405246244,0.013003901170351105,0,Earth,8,25
QSSF_proxy,700,444.7855238095237,1520.5899999999883,22400.1,0.8541526925847057,0.016905071521456438,238,Earth,8,25
RF_SRPT_proxy,700,403.0802857142857,1445.9108333333324,22400.1,0.8541526925847057,0.01950585175552666,476,Earth,8,25
Backfill_FIFO,700,883.0410952380955,3332.416666666668,25097.050000000003,0.7623647292875722,0.0039011703511053317,447,Earth,8,25
Wind_proxy,700,883.0410952380955,3332.416666666668,25097.050000000003,0.7623647292875722,0.0039011703511053317,447,Earth,8,25
PredSched_LLM,700,403.0802857142857,1445.9108333333324,22400.1,0.8541526925847057,0.01950585175552666,476,Earth,8,25
FIFO,700,3423.2742380952395,9292.068333333336,21850.26666666667,0.7494630714842535,0.011780104712041885,0,Earth,8,26
QSSF_proxy,700,448.0879047619046,2106.6583333333333,19975.516666666666,0.8198019726857296,0.010471204188481676,355,Earth,8,26
RF_SRPT_proxy,700,427.8800714285714,1872.0,19975.516666666666,0.8198019726857299,0.024869109947643978,456,Earth,8,26
